date,Thu,Jun,11,11:40:25,am,2015,,,,,,,,,,,,,,,2
18.70375,1,402,Rx,d,8,DA,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8874
18.903739,1,402,Rx,d,8,CE,97,0,0,1,0,0,0,Length,=,232000,BitCount,=,120,,3.8862
19.103739,1,402,Rx,d,8,CA,97,1,0,0,0,1,0,Length,=,238000,BitCount,=,123,,3.8858
19.301731,1,402,Rx,d,8,C7,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8855
19.503727,1,402,Rx,d,8,C4,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8852
19.70372,1,402,Rx,d,8,BF,97,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8847
19.903713,1,402,Rx,d,8,B8,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.884
20.103708,1,402,Rx,d,8,B5,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8837
20.301641,1,402,Rx,d,8,B6,97,1,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.8838
20.503697,1,402,Rx,d,8,AD,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8829
20.70369,1,402,Rx,d,8,AA,97,1,0,1,0,0,0,Length,=,232000,BitCount,=,120,,3.8826
20.903691,1,402,Rx,d,8,AC,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8828
21.103683,1,402,Rx,d,8,A7,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8823
21.302525,1,402,Rx,d,8,9E,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8814
21.503673,1,402,Rx,d,8,A5,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8821
21.703665,1,402,Rx,d,8,97,97,1,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8807
21.90366,1,402,Rx,d,8,9C,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8812
22.103656,1,402,Rx,d,8,97,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8807
22.302958,1,402,Rx,d,8,91,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8801
22.503645,1,402,Rx,d,8,8B,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8795
22.703635,1,402,Rx,d,8,84,97,0,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.8788
22.903635,1,402,Rx,d,8,85,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8789
23.103628,1,402,Rx,d,8,86,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.879
23.303625,1,402,Rx,d,8,83,97,1,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.8787
23.503616,1,402,Rx,d,8,81,97,0,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.8785
23.703613,1,402,Rx,d,8,77,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8775
23.903608,1,402,Rx,d,8,77,97,0,0,1,0,0,0,Length,=,238000,BitCount,=,123,,3.8775
24.103599,1,402,Rx,d,8,6D,97,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8765
24.303594,1,402,Rx,d,8,6F,97,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8767
24.503589,1,402,Rx,d,8,64,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8756
24.703584,1,402,Rx,d,8,6E,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8766
24.90358,1,402,Rx,d,8,62,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8754
25.103572,1,402,Rx,d,8,63,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8755
25.303569,1,402,Rx,d,8,58,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8744
25.503561,1,402,Rx,d,8,5A,97,1,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8746
25.703553,1,402,Rx,d,8,49,97,0,0,0,0,1,0,Length,=,232000,BitCount,=,120,,3.8729
25.903551,1,402,Rx,d,8,54,97,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.874
26.103546,1,402,Rx,d,8,49,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8729
26.303539,1,402,Rx,d,8,54,97,0,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.874
26.503534,1,402,Rx,d,8,48,97,1,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8728
26.703531,1,402,Rx,d,8,49,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8729
26.90352,1,402,Rx,d,8,4B,97,1,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.8731
27.103523,1,402,Rx,d,8,3C,97,0,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.8716
27.303514,1,402,Rx,d,8,40,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.872
27.503506,1,402,Rx,d,8,3B,97,1,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.8715
27.703506,1,402,Rx,d,8,40,97,1,0,1,0,0,0,Length,=,240000,BitCount,=,124,,3.872
27.9035,1,402,Rx,d,8,2F,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8703
28.103493,1,402,Rx,d,8,37,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8711
28.303485,1,402,Rx,d,8,30,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8704
28.503482,1,402,Rx,d,8,2D,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8701
28.703476,1,402,Rx,d,8,21,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8689
28.903469,1,402,Rx,d,8,2C,97,0,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.87
29.103466,1,402,Rx,d,8,26,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8694
29.303459,1,402,Rx,d,8,25,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8693
29.503454,1,402,Rx,d,8,26,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8694
29.703449,1,402,Rx,d,8,1E,97,0,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.8686
29.90344,1,402,Rx,d,8,1E,97,1,0,1,0,1,0,Length,=,234000,BitCount,=,121,,3.8686
30.103438,1,402,Rx,d,8,12,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8674
30.30343,1,402,Rx,d,8,17,97,1,0,1,0,1,0,Length,=,234000,BitCount,=,121,,3.8679
30.503429,1,402,Rx,d,8,0F,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8671
30.703425,1,402,Rx,d,8,17,97,0,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.8679
30.903416,1,402,Rx,d,8,12,97,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8674
31.10341,1,402,Rx,d,8,0C,97,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8668
31.303404,1,402,Rx,d,8,0C,97,0,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.8668
31.503401,1,402,Rx,d,8,3,97,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,0.2419
31.703396,1,402,Rx,d,8,0,97,1,0,1,0,0,0,Length,=,238000,BitCount,=,123,,0.2416
31.903389,1,402,Rx,d,8,FF,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8655
32.103381,1,402,Rx,d,8,3,97,1,0,1,0,0,0,Length,=,234000,BitCount,=,121,,0.2419
32.303383,1,402,Rx,d,8,1,97,0,0,0,0,0,0,Length,=,242000,BitCount,=,125,,0.2417
32.503369,1,402,Rx,d,8,F5,96,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8645
32.703367,1,402,Rx,d,8,F8,96,1,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.8648
32.903367,1,402,Rx,d,8,EF,96,0,0,0,0,0,0,Length,=,242000,BitCount,=,125,,3.8639
33.103354,1,402,Rx,d,8,ED,96,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8637
33.303346,1,402,Rx,d,8,EB,96,1,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.8635
33.50334,1,402,Rx,d,8,ED,96,1,0,1,0,0,0,Length,=,232000,BitCount,=,120,,3.8637
33.703336,1,402,Rx,d,8,F0,96,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.864
33.903329,1,402,Rx,d,8,EE,96,0,0,1,0,0,0,Length,=,232000,BitCount,=,120,,3.8638
34.103326,1,402,Rx,d,8,ED,96,0,0,1,0,1,0,Length,=,234000,BitCount,=,121,,3.8637
34.303323,1,402,Rx,d,8,DC,96,0,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.862
34.503312,1,402,Rx,d,8,DC,96,1,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.862
34.703309,1,402,Rx,d,8,DD,96,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8621
34.903302,1,402,Rx,d,8,E4,96,1,0,0,0,1,0,Length,=,232000,BitCount,=,120,,3.8628
35.103302,1,402,Rx,d,8,DB,96,2,0,1,0,0,0,Length,=,238000,BitCount,=,123,,3.8619
35.303298,1,402,Rx,d,8,DB,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8619
35.503288,1,402,Rx,d,8,D2,96,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.861
35.703284,1,402,Rx,d,8,D9,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8617
35.903281,1,402,Rx,d,8,C9,96,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8601
36.103276,1,402,Rx,d,8,C9,96,0,0,0,0,0,0,Length,=,240000,BitCount,=,124,,3.8601
36.303267,1,402,Rx,d,8,D4,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8612
36.503262,1,402,Rx,d,8,CA,96,0,0,0,0,1,0,Length,=,236000,BitCount,=,122,,3.8602
36.703257,1,402,Rx,d,8,D0,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8608
36.903254,1,402,Rx,d,8,C4,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8596
37.103247,1,402,Rx,d,8,CC,96,0,0,0,0,1,0,Length,=,238000,BitCount,=,123,,3.8604
37.303241,1,402,Rx,d,8,BE,96,1,0,1,0,1,0,Length,=,236000,BitCount,=,122,,3.859
37.503233,1,402,Rx,d,8,C7,96,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8599
37.703227,1,402,Rx,d,8,B9,96,0,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.8585
37.903225,1,402,Rx,d,8,AD,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8573
38.103218,1,402,Rx,d,8,BE,96,1,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.859
38.303215,1,402,Rx,d,8,B7,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8583
38.503206,1,402,Rx,d,8,B6,96,2,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8582
38.703201,1,402,Rx,d,8,B4,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.858
38.903196,1,402,Rx,d,8,AC,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8572
39.10319,1,402,Rx,d,8,A8,96,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8568
39.303186,1,402,Rx,d,8,AF,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8575
39.503178,1,402,Rx,d,8,A2,96,0,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8562
39.703173,1,402,Rx,d,8,B3,96,0,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.8579
39.903169,1,402,Rx,d,8,93,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8547
40.10316,1,402,Rx,d,8,93,96,0,0,1,0,0,0,Length,=,232000,BitCount,=,120,,3.8547
40.303157,1,402,Rx,d,8,C5,96,1,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8597
40.503156,1,402,Rx,d,8,C3,96,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8595
40.703145,1,402,Rx,d,8,DD,96,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8621
40.903142,1,402,Rx,d,8,8B,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8539
41.103137,1,402,Rx,d,8,A2,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8562
41.303131,1,402,Rx,d,8,84,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8532
41.503127,1,402,Rx,d,8,9F,96,1,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8559
41.703125,1,402,Rx,d,8,81,96,0,0,0,0,1,0,Length,=,240000,BitCount,=,124,,3.8529
41.903114,1,402,Rx,d,8,9D,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8557
42.103108,1,402,Rx,d,8,7A,96,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8522
42.303106,1,402,Rx,d,8,99,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8553
42.503097,1,402,Rx,d,8,79,96,0,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.8521
42.703094,1,402,Rx,d,8,8F,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8543
42.903089,1,402,Rx,d,8,78,96,0,0,1,0,1,0,Length,=,238000,BitCount,=,123,,3.852
43.10308,1,402,Rx,d,8,89,96,0,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.8537
43.303079,1,402,Rx,d,8,AA,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.857
43.50307,1,402,Rx,d,8,8A,96,1,0,0,0,1,0,Length,=,234000,BitCount,=,121,,3.8538
43.703066,1,402,Rx,d,8,78,96,0,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.852
43.903061,1,402,Rx,d,8,BF,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8591
44.103057,1,402,Rx,d,8,83,96,0,0,1,0,0,0,Length,=,238000,BitCount,=,123,,3.8531
44.303048,1,402,Rx,d,8,77,96,0,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8519
44.503045,1,402,Rx,d,8,7B,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8523
44.703034,1,402,Rx,d,8,72,96,0,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.8514
44.903033,1,402,Rx,d,8,72,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8514
45.10303,1,402,Rx,d,8,6C,96,0,0,1,0,0,0,Length,=,238000,BitCount,=,123,,3.8508
45.303021,1,402,Rx,d,8,6D,96,1,0,1,0,1,0,Length,=,236000,BitCount,=,122,,3.8509
45.503013,1,402,Rx,d,8,68,96,1,0,0,0,1,0,Length,=,232000,BitCount,=,120,,3.8504
45.70301,1,402,Rx,d,8,6F,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8511
45.903002,1,402,Rx,d,8,68,96,0,0,1,0,1,0,Length,=,232000,BitCount,=,120,,3.8504
46.102996,1,402,Rx,d,8,63,96,1,0,0,0,1,0,Length,=,232000,BitCount,=,120,,3.8499
46.302994,1,402,Rx,d,8,5E,96,1,0,0,0,0,0,Length,=,236000,BitCount,=,122,,3.8494
46.502991,1,402,Rx,d,8,53,96,0,0,0,0,0,0,Length,=,238000,BitCount,=,123,,3.8483
46.702982,1,402,Rx,d,8,5D,96,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8493
46.902977,1,402,Rx,d,8,5B,96,1,0,1,0,0,0,Length,=,236000,BitCount,=,122,,3.8491
47.102975,1,402,Rx,d,8,5A,96,0,0,0,0,1,0,Length,=,238000,BitCount,=,123,,3.849
47.302963,1,402,Rx,d,8,52,96,0,0,1,0,0,0,Length,=,232000,BitCount,=,120,,3.8482
47.50296,1,402,Rx,d,8,58,96,1,0,1,0,0,0,Length,=,234000,BitCount,=,121,,3.8488
47.702956,1,402,Rx,d,8,52,96,1,0,0,0,0,0,Length,=,234000,BitCount,=,121,,3.8482
