time,ms,voltage,badData,segId, 
Wed Jun 25 08:29:31 EDT 2014,1403699384112.00,138.94,0,3, 
Wed Jun 25 08:29:32 EDT 2014,1403699385112.00,138.94,0,3, 
Wed Jun 25 08:29:33 EDT 2014,1403699386112.00,138.943,0,3, 
Wed Jun 25 08:29:34 EDT 2014,1403699387112.00,138.949,0,3, 
Wed Jun 25 08:29:35 EDT 2014,1403699388112.00,138.943,0,3, 
Wed Jun 25 08:29:36 EDT 2014,1403699389112.00,138.95,0,3, 
Wed Jun 25 08:29:37 EDT 2014,1403699390112.00,138.958,0,3, 
Wed Jun 25 08:29:38 EDT 2014,1403699391112.00,138.957,0,3, 
Wed Jun 25 08:29:39 EDT 2014,1403699392112.00,138.958,0,3, 
Wed Jun 25 08:29:40 EDT 2014,1403699393112.00,138.958,0,3, 
Wed Jun 25 08:29:41 EDT 2014,1403699394112.00,138.957,0,3, 
Wed Jun 25 08:29:42 EDT 2014,1403699395112.00,138.956,0,3, 
Wed Jun 25 08:29:43 EDT 2014,1403699396112.00,138.95,0,3, 
Wed Jun 25 08:29:44 EDT 2014,1403699397112.00,138.957,0,3, 
Wed Jun 25 08:29:45 EDT 2014,1403699398112.00,138.955,0,3, 
Wed Jun 25 08:29:46 EDT 2014,1403699399112.00,138.946,0,3, 
Wed Jun 25 08:29:47 EDT 2014,1403699400112.00,138.939,0,3, 
Wed Jun 25 08:29:48 EDT 2014,1403699401112.00,138.949,0,3, 
Wed Jun 25 08:29:49 EDT 2014,1403699402112.00,138.95,0,3, 
Wed Jun 25 08:29:50 EDT 2014,1403699403112.00,138.946,0,3, 
Wed Jun 25 08:29:51 EDT 2014,1403699404112.00,138.938,0,3, 
Wed Jun 25 08:29:52 EDT 2014,1403699405112.00,138.941,0,3, 
Wed Jun 25 08:29:53 EDT 2014,1403699406112.00,138.955,0,3, 
Wed Jun 25 08:29:54 EDT 2014,1403699407112.00,138.963,0,3, 
Wed Jun 25 08:29:55 EDT 2014,1403699408112.00,138.966,0,3, 
Wed Jun 25 08:29:56 EDT 2014,1403699409112.00,138.966,0,3, 
Wed Jun 25 08:29:57 EDT 2014,1403699410112.00,138.955,0,3, 
Wed Jun 25 08:29:58 EDT 2014,1403699411112.00,138.946,0,3, 
Wed Jun 25 08:29:59 EDT 2014,1403699412112.00,138.948,0,3, 
Wed Jun 25 08:30:00 EDT 2014,1403699413112.00,138.943,0,3, 
Wed Jun 25 08:30:01 EDT 2014,1403699414112.00,138.939,0,3, 
Wed Jun 25 08:30:02 EDT 2014,1403699415112.00,138.941,0,3, 
Wed Jun 25 08:30:03 EDT 2014,1403699416112.00,138.942,0,3, 
Wed Jun 25 08:30:04 EDT 2014,1403699417112.00,138.943,0,3, 
Wed Jun 25 08:30:05 EDT 2014,1403699418112.00,138.945,0,3, 
Wed Jun 25 08:30:06 EDT 2014,1403699419112.00,138.942,0,3, 
Wed Jun 25 08:30:07 EDT 2014,1403699420112.00,138.935,0,3, 
Wed Jun 25 08:30:08 EDT 2014,1403699421112.00,138.95,0,3, 
Wed Jun 25 08:30:09 EDT 2014,1403699422112.00,138.949,0,3, 
Wed Jun 25 08:30:10 EDT 2014,1403699423112.00,138.938,0,3, 
Wed Jun 25 08:30:11 EDT 2014,1403699424112.00,138.944,0,3, 
Wed Jun 25 08:30:12 EDT 2014,1403699425112.00,138.943,0,3, 
Wed Jun 25 08:30:13 EDT 2014,1403699426112.00,138.941,0,3, 
Wed Jun 25 08:30:14 EDT 2014,1403699427112.00,138.939,0,3, 
Wed Jun 25 08:30:15 EDT 2014,1403699428112.00,138.937,0,3, 
Wed Jun 25 08:30:16 EDT 2014,1403699429112.00,138.937,0,3, 
Wed Jun 25 08:30:17 EDT 2014,1403699430112.00,138.948,0,3, 
Wed Jun 25 08:30:18 EDT 2014,1403699431112.00,138.931,0,3, 
Wed Jun 25 08:30:19 EDT 2014,1403699432112.00,138.936,0,3, 
Wed Jun 25 08:30:20 EDT 2014,1403699433112.00,138.932,0,3, 
Wed Jun 25 08:30:21 EDT 2014,1403699434112.00,138.935,0,3, 
Wed Jun 25 08:30:22 EDT 2014,1403699435112.00,138.931,0,3, 
Wed Jun 25 08:30:23 EDT 2014,1403699436112.00,138.94,0,3, 
Wed Jun 25 08:30:24 EDT 2014,1403699437112.00,138.947,0,3, 
Wed Jun 25 08:30:25 EDT 2014,1403699438112.00,138.941,0,3, 
Wed Jun 25 08:30:26 EDT 2014,1403699439112.00,138.946,0,3, 
Wed Jun 25 08:30:27 EDT 2014,1403699440112.00,138.938,0,3, 
Wed Jun 25 08:30:28 EDT 2014,1403699441112.00,138.944,0,3, 
Wed Jun 25 08:30:29 EDT 2014,1403699442112.00,138.951,0,3, 
Wed Jun 25 08:30:30 EDT 2014,1403699443112.00,138.94,0,3, 
Wed Jun 25 08:30:31 EDT 2014,1403699444112.00,138.941,0,3, 
Wed Jun 25 08:30:32 EDT 2014,1403699445112.00,138.93,0,3, 
Wed Jun 25 08:30:33 EDT 2014,1403699446112.00,138.925,0,3, 
Wed Jun 25 08:30:34 EDT 2014,1403699447112.00,138.931,0,3, 
Wed Jun 25 08:30:35 EDT 2014,1403699448112.00,138.927,0,3, 
Wed Jun 25 08:30:36 EDT 2014,1403699449112.00,138.934,0,3, 
Wed Jun 25 08:30:37 EDT 2014,1403699450112.00,138.931,0,3, 
Wed Jun 25 08:30:38 EDT 2014,1403699451112.00,138.939,0,3, 
Wed Jun 25 08:30:39 EDT 2014,1403699452112.00,138.951,0,3, 
Wed Jun 25 08:30:40 EDT 2014,1403699453112.00,138.953,0,3, 
Wed Jun 25 08:30:41 EDT 2014,1403699454112.00,138.953,0,3, 
Wed Jun 25 08:30:42 EDT 2014,1403699455112.00,138.943,0,3, 
Wed Jun 25 08:30:43 EDT 2014,1403699456112.00,138.953,0,3, 
Wed Jun 25 08:30:44 EDT 2014,1403699457112.00,138.946,0,3, 
Wed Jun 25 08:30:45 EDT 2014,1403699458112.00,138.949,0,3, 
Wed Jun 25 08:30:46 EDT 2014,1403699459112.00,138.946,0,3, 
Wed Jun 25 08:30:47 EDT 2014,1403699460112.00,138.937,0,3, 
Wed Jun 25 08:30:48 EDT 2014,1403699461112.00,138.938,0,3, 
Wed Jun 25 08:30:49 EDT 2014,1403699462112.00,138.943,0,3, 
Wed Jun 25 08:30:50 EDT 2014,1403699463112.00,138.943,0,3, 
Wed Jun 25 08:30:51 EDT 2014,1403699464112.00,138.945,0,3, 
Wed Jun 25 08:30:52 EDT 2014,1403699465112.00,138.941,0,3, 
Wed Jun 25 08:30:53 EDT 2014,1403699466112.00,138.938,0,3, 
Wed Jun 25 08:30:54 EDT 2014,1403699467112.00,138.931,0,3, 
Wed Jun 25 08:30:55 EDT 2014,1403699468112.00,138.936,0,3, 
Wed Jun 25 08:30:56 EDT 2014,1403699469112.00,138.937,0,3, 
Wed Jun 25 08:30:57 EDT 2014,1403699470112.00,138.931,0,3, 
Wed Jun 25 08:30:58 EDT 2014,1403699471112.00,138.931,0,3, 
Wed Jun 25 08:30:59 EDT 2014,1403699472112.00,138.939,0,3, 
Wed Jun 25 08:31:00 EDT 2014,1403699473112.00,138.942,0,3, 
Wed Jun 25 08:31:01 EDT 2014,1403699474112.00,138.949,0,3, 
Wed Jun 25 08:31:02 EDT 2014,1403699475112.00,138.946,0,3, 
Wed Jun 25 08:31:03 EDT 2014,1403699476112.00,138.943,0,3, 
Wed Jun 25 08:31:04 EDT 2014,1403699477112.00,138.947,0,3, 
Wed Jun 25 08:31:05 EDT 2014,1403699478112.00,138.95,0,3, 
Wed Jun 25 08:31:06 EDT 2014,1403699479112.00,138.951,0,3, 
Wed Jun 25 08:31:07 EDT 2014,1403699480112.00,138.951,0,3, 
Wed Jun 25 08:31:08 EDT 2014,1403699481112.00,138.948,0,3, 
Wed Jun 25 08:31:09 EDT 2014,1403699482112.00,138.95,0,3, 
Wed Jun 25 08:31:10 EDT 2014,1403699483112.00,138.948,0,3, 
Wed Jun 25 08:31:11 EDT 2014,1403699484112.00,138.953,0,3, 
Wed Jun 25 08:31:12 EDT 2014,1403699485112.00,138.946,0,3, 
Wed Jun 25 08:31:13 EDT 2014,1403699486112.00,138.932,0,3, 
Wed Jun 25 08:31:14 EDT 2014,1403699487112.00,138.932,0,3, 
Wed Jun 25 08:31:15 EDT 2014,1403699488112.00,138.939,0,3, 
Wed Jun 25 08:31:16 EDT 2014,1403699489112.00,138.94,0,3, 
Wed Jun 25 08:31:17 EDT 2014,1403699490112.00,138.948,0,3, 
Wed Jun 25 08:31:18 EDT 2014,1403699491112.00,138.957,0,3, 
Wed Jun 25 08:31:19 EDT 2014,1403699492112.00,138.954,0,3, 
Wed Jun 25 08:31:20 EDT 2014,1403699493112.00,138.954,0,3, 
Wed Jun 25 08:31:21 EDT 2014,1403699494112.00,138.949,0,3, 
Wed Jun 25 08:31:22 EDT 2014,1403699495112.00,138.949,0,3, 
Wed Jun 25 08:31:23 EDT 2014,1403699496112.00,138.946,0,3, 
Wed Jun 25 08:31:24 EDT 2014,1403699497112.00,138.941,0,3, 
Wed Jun 25 08:31:25 EDT 2014,1403699498112.00,138.941,0,3, 
Wed Jun 25 08:31:26 EDT 2014,1403699499112.00,138.943,0,3, 
Wed Jun 25 08:31:27 EDT 2014,1403699500112.00,138.943,0,3, 
Wed Jun 25 08:31:28 EDT 2014,1403699501112.00,138.943,0,3, 
Wed Jun 25 08:31:29 EDT 2014,1403699502112.00,138.952,0,3, 
Wed Jun 25 08:31:30 EDT 2014,1403699503112.00,138.953,0,3, 
Wed Jun 25 08:31:31 EDT 2014,1403699504112.00,138.953,0,3, 
Wed Jun 25 08:31:32 EDT 2014,1403699505112.00,138.956,0,3, 
Wed Jun 25 08:31:33 EDT 2014,1403699506112.00,138.951,0,3, 
Wed Jun 25 08:31:34 EDT 2014,1403699507112.00,138.946,0,3, 
Wed Jun 25 08:31:35 EDT 2014,1403699508112.00,138.944,0,3, 
Wed Jun 25 08:31:36 EDT 2014,1403699509112.00,138.942,0,3, 
Wed Jun 25 08:31:37 EDT 2014,1403699510112.00,138.944,0,3, 
Wed Jun 25 08:31:38 EDT 2014,1403699511112.00,138.946,0,3, 
Wed Jun 25 08:31:39 EDT 2014,1403699512112.00,138.943,0,3, 
Wed Jun 25 08:31:40 EDT 2014,1403699513112.00,138.943,0,3, 
Wed Jun 25 08:31:41 EDT 2014,1403699514112.00,138.943,0,3, 
Wed Jun 25 08:31:42 EDT 2014,1403699515112.00,138.95,0,3, 
Wed Jun 25 08:31:43 EDT 2014,1403699516112.00,138.944,0,3, 
Wed Jun 25 08:31:44 EDT 2014,1403699517112.00,138.944,0,3, 
Wed Jun 25 08:31:45 EDT 2014,1403699518112.00,138.944,0,3, 
Wed Jun 25 08:31:46 EDT 2014,1403699519112.00,138.938,0,3, 
Wed Jun 25 08:31:47 EDT 2014,1403699520112.00,138.945,0,3, 
Wed Jun 25 08:31:48 EDT 2014,1403699521112.00,138.945,0,3, 
Wed Jun 25 08:31:49 EDT 2014,1403699522112.00,138.941,0,3, 
Wed Jun 25 08:31:50 EDT 2014,1403699523112.00,138.942,0,3, 
Wed Jun 25 08:31:51 EDT 2014,1403699524112.00,138.942,0,3, 
Wed Jun 25 08:31:52 EDT 2014,1403699525112.00,138.943,0,3, 
Wed Jun 25 08:31:53 EDT 2014,1403699526112.00,138.944,0,3, 
Wed Jun 25 08:31:54 EDT 2014,1403699527112.00,138.942,0,3, 
Wed Jun 25 08:31:55 EDT 2014,1403699528112.00,138.941,0,3, 
Wed Jun 25 08:31:56 EDT 2014,1403699529112.00,138.939,0,3, 
Wed Jun 25 08:31:57 EDT 2014,1403699530112.00,138.941,0,3, 
Wed Jun 25 08:31:58 EDT 2014,1403699531112.00,138.94,0,3, 
Wed Jun 25 08:31:59 EDT 2014,1403699532112.00,138.939,0,3, 
Wed Jun 25 08:32:00 EDT 2014,1403699533112.00,138.936,0,3, 
Wed Jun 25 08:32:01 EDT 2014,1403699536112.00,138.935,0,3, 
Wed Jun 25 08:32:02 EDT 2014,1403699537112.00,138.949,0,3, 
Wed Jun 25 08:32:03 EDT 2014,1403699540112.00,138.955,0,3, 
Wed Jun 25 08:32:04 EDT 2014,1403699542112.00,138.943,0,3, 
Wed Jun 25 08:32:05 EDT 2014,1403699543112.00,138.941,0,3, 
Wed Jun 25 08:32:06 EDT 2014,1403699544112.00,138.944,0,3, 
Wed Jun 25 08:32:07 EDT 2014,1403699545112.00,138.951,0,3, 
Wed Jun 25 08:32:08 EDT 2014,1403699546112.00,138.985,0,3, 
Wed Jun 25 08:32:09 EDT 2014,1403699547112.00,138.978,0,3, 
Wed Jun 25 08:32:10 EDT 2014,1403699548112.00,138.979,0,3, 
Wed Jun 25 08:32:11 EDT 2014,1403699549112.00,138.98,0,3, 
Wed Jun 25 08:32:12 EDT 2014,1403699550112.00,138.975,0,3, 
Wed Jun 25 08:32:13 EDT 2014,1403699551112.00,138.976,0,3, 
Wed Jun 25 08:32:14 EDT 2014,1403699552112.00,138.975,0,3, 
Wed Jun 25 08:32:15 EDT 2014,1403699553112.00,138.974,0,3, 
Wed Jun 25 08:32:16 EDT 2014,1403699554112.00,138.975,0,3, 
Wed Jun 25 08:32:17 EDT 2014,1403699555112.00,138.972,0,3, 
Wed Jun 25 08:32:18 EDT 2014,1403699556112.00,138.95,0,3, 
Wed Jun 25 08:32:19 EDT 2014,1403699557112.00,138.949,0,3, 
Wed Jun 25 08:32:20 EDT 2014,1403699558112.00,138.951,0,3, 
Wed Jun 25 08:32:21 EDT 2014,1403699559112.00,138.956,0,3, 
Wed Jun 25 08:32:22 EDT 2014,1403699560112.00,138.955,0,3, 
Wed Jun 25 08:32:23 EDT 2014,1403699561112.00,138.943,0,3, 
Wed Jun 25 08:32:24 EDT 2014,1403699562112.00,138.95,0,3, 
Wed Jun 25 08:32:25 EDT 2014,1403699563112.00,138.947,0,3, 
Wed Jun 25 08:32:26 EDT 2014,1403699564112.00,138.938,0,3, 
Wed Jun 25 08:32:27 EDT 2014,1403699565112.00,138.922,0,3, 
Wed Jun 25 08:32:28 EDT 2014,1403699566112.00,138.92,0,3, 
Wed Jun 25 08:32:29 EDT 2014,1403699567112.00,138.919,0,3, 
Wed Jun 25 08:32:30 EDT 2014,1403699568112.00,138.933,0,3, 
Wed Jun 25 08:32:31 EDT 2014,1403699569112.00,138.928,0,3, 
Wed Jun 25 08:32:32 EDT 2014,1403699570112.00,138.93,0,3, 
Wed Jun 25 08:32:33 EDT 2014,1403699571112.00,138.932,0,3, 
Wed Jun 25 08:32:34 EDT 2014,1403699572112.00,138.921,0,3, 
Wed Jun 25 08:32:35 EDT 2014,1403699573112.00,138.922,0,3, 
Wed Jun 25 08:32:36 EDT 2014,1403699574112.00,138.923,0,3, 
Wed Jun 25 08:32:37 EDT 2014,1403699575112.00,138.923,0,3, 
Wed Jun 25 08:32:38 EDT 2014,1403699577112.00,138.922,0,3, 
Wed Jun 25 08:32:39 EDT 2014,1403699578112.00,138.94,0,3, 
Wed Jun 25 08:32:40 EDT 2014,1403699579112.00,138.934,0,3, 
Wed Jun 25 08:32:41 EDT 2014,1403699580112.00,138.927,0,3, 
Wed Jun 25 08:32:42 EDT 2014,1403699581112.00,138.924,0,3, 
Wed Jun 25 08:32:43 EDT 2014,1403699582112.00,138.937,0,3, 
Wed Jun 25 08:32:44 EDT 2014,1403699583112.00,138.941,0,3, 
Wed Jun 25 08:32:45 EDT 2014,1403699584112.00,138.942,0,3, 
Wed Jun 25 08:32:46 EDT 2014,1403699585112.00,138.937,0,3, 
Wed Jun 25 08:32:47 EDT 2014,1403699586112.00,138.93,0,3, 
Wed Jun 25 08:32:48 EDT 2014,1403699587112.00,138.935,0,3, 
Wed Jun 25 08:32:49 EDT 2014,1403699588112.00,138.933,0,3, 
Wed Jun 25 08:32:50 EDT 2014,1403699589112.00,138.937,0,3, 
Wed Jun 25 08:32:51 EDT 2014,1403699590112.00,138.921,0,3, 
Wed Jun 25 08:32:52 EDT 2014,1403699591112.00,138.928,0,3, 
Wed Jun 25 08:32:53 EDT 2014,1403699592112.00,138.932,0,3, 
Wed Jun 25 08:32:54 EDT 2014,1403699593112.00,138.939,0,3, 
Wed Jun 25 08:32:55 EDT 2014,1403699594112.00,138.944,0,3, 
Wed Jun 25 08:32:56 EDT 2014,1403699595112.00,138.938,0,3, 
Wed Jun 25 08:32:57 EDT 2014,1403699596112.00,138.935,0,3, 
Wed Jun 25 08:32:58 EDT 2014,1403699597112.00,138.937,0,3, 
Wed Jun 25 08:32:59 EDT 2014,1403699598112.00,138.935,0,3, 
Wed Jun 25 08:33:00 EDT 2014,1403699599112.00,138.934,0,3, 
Wed Jun 25 08:33:01 EDT 2014,1403699600112.00,138.931,0,3, 
Wed Jun 25 08:33:02 EDT 2014,1403699601112.00,138.935,0,3, 
Wed Jun 25 08:33:03 EDT 2014,1403699602112.00,138.937,0,3, 
Wed Jun 25 08:33:04 EDT 2014,1403699603112.00,138.938,0,3, 
Wed Jun 25 08:33:05 EDT 2014,1403699604112.00,138.937,0,3, 
Wed Jun 25 08:33:06 EDT 2014,1403699605112.00,138.935,0,3, 
Wed Jun 25 08:33:07 EDT 2014,1403699606112.00,138.935,0,3, 
Wed Jun 25 08:33:08 EDT 2014,1403699607112.00,138.936,0,3, 
Wed Jun 25 08:33:09 EDT 2014,1403699608112.00,138.936,0,3, 
Wed Jun 25 08:33:10 EDT 2014,1403699609112.00,138.942,0,3, 
Wed Jun 25 08:33:11 EDT 2014,1403699610112.00,138.944,0,3, 
Wed Jun 25 08:33:12 EDT 2014,1403699611112.00,138.946,0,3, 
Wed Jun 25 08:33:13 EDT 2014,1403699612112.00,138.95,0,3, 
Wed Jun 25 08:33:14 EDT 2014,1403699613112.00,138.938,0,3, 
Wed Jun 25 08:33:15 EDT 2014,1403699614112.00,138.938,0,3, 
Wed Jun 25 08:33:16 EDT 2014,1403699615112.00,138.936,0,3, 
Wed Jun 25 08:33:17 EDT 2014,1403699616112.00,138.936,0,3, 
Wed Jun 25 08:33:18 EDT 2014,1403699617112.00,138.935,0,3, 
Wed Jun 25 08:33:19 EDT 2014,1403699618112.00,138.935,0,3, 
Wed Jun 25 08:33:20 EDT 2014,1403699619112.00,138.944,0,3, 
Wed Jun 25 08:33:21 EDT 2014,1403699620112.00,138.943,0,3, 
Wed Jun 25 08:33:22 EDT 2014,1403699621112.00,138.939,0,3, 
Wed Jun 25 08:33:23 EDT 2014,1403699622112.00,138.935,0,3, 
Wed Jun 25 08:33:24 EDT 2014,1403699623112.00,138.935,0,3, 
Wed Jun 25 08:33:25 EDT 2014,1403699624112.00,138.941,0,3, 
Wed Jun 25 08:33:26 EDT 2014,1403699625112.00,138.943,0,3, 
Wed Jun 25 08:33:27 EDT 2014,1403699626112.00,138.941,0,3, 
Wed Jun 25 08:33:28 EDT 2014,1403699627112.00,138.946,0,3, 
Wed Jun 25 08:33:29 EDT 2014,1403699628112.00,138.949,0,3, 
Wed Jun 25 08:33:30 EDT 2014,1403699629112.00,138.944,0,3, 
Wed Jun 25 08:33:31 EDT 2014,1403699630112.00,138.935,0,3, 
Wed Jun 25 08:33:32 EDT 2014,1403699631112.00,138.937,0,3, 
Wed Jun 25 08:33:33 EDT 2014,1403699632112.00,138.938,0,3, 
Wed Jun 25 08:33:34 EDT 2014,1403699633112.00,138.93,0,3, 
Wed Jun 25 08:33:35 EDT 2014,1403699634112.00,138.917,0,3, 
Wed Jun 25 08:33:36 EDT 2014,1403699635112.00,138.917,0,3, 
Wed Jun 25 08:33:37 EDT 2014,1403699636112.00,138.919,0,3, 
Wed Jun 25 08:33:38 EDT 2014,1403699637112.00,138.923,0,3, 
Wed Jun 25 08:33:39 EDT 2014,1403699638112.00,138.914,0,3, 
Wed Jun 25 08:33:40 EDT 2014,1403699639112.00,138.912,0,3, 
Wed Jun 25 08:33:41 EDT 2014,1403699640112.00,138.917,0,3, 
Wed Jun 25 08:33:42 EDT 2014,1403699641112.00,138.921,0,3, 
Wed Jun 25 08:33:43 EDT 2014,1403699642112.00,138.928,0,3, 
Wed Jun 25 08:33:44 EDT 2014,1403699643112.00,138.929,0,3, 
Wed Jun 25 08:33:45 EDT 2014,1403699644112.00,138.928,0,3, 
Wed Jun 25 08:33:46 EDT 2014,1403699645112.00,138.928,0,3, 
Wed Jun 25 08:33:47 EDT 2014,1403699646112.00,138.93,0,3, 
Wed Jun 25 08:33:48 EDT 2014,1403699647112.00,138.931,0,3, 
Wed Jun 25 08:33:49 EDT 2014,1403699648112.00,138.931,0,3, 
Wed Jun 25 08:33:50 EDT 2014,1403699649112.00,138.928,0,3, 
Wed Jun 25 08:33:51 EDT 2014,1403699650112.00,138.925,0,3, 
Wed Jun 25 08:33:52 EDT 2014,1403699651112.00,138.933,0,3, 
Wed Jun 25 08:33:53 EDT 2014,1403699652112.00,138.94,0,3, 
Wed Jun 25 08:33:54 EDT 2014,1403699653112.00,138.942,0,3, 
Wed Jun 25 08:33:55 EDT 2014,1403699654112.00,138.938,0,3, 
Wed Jun 25 08:33:56 EDT 2014,1403699655112.00,138.935,0,3, 
Wed Jun 25 08:33:57 EDT 2014,1403699656112.00,138.936,0,3, 
Wed Jun 25 08:33:58 EDT 2014,1403699657112.00,138.935,0,3, 
Wed Jun 25 08:33:59 EDT 2014,1403699658112.00,138.925,0,3, 
Wed Jun 25 08:34:00 EDT 2014,1403699659112.00,138.925,0,3, 
Wed Jun 25 08:34:01 EDT 2014,1403699660112.00,138.919,0,3, 
Wed Jun 25 08:34:02 EDT 2014,1403699661112.00,138.916,0,3, 
Wed Jun 25 08:34:03 EDT 2014,1403699662112.00,138.923,0,3, 
Wed Jun 25 08:34:04 EDT 2014,1403699663112.00,138.921,0,3, 
Wed Jun 25 08:34:05 EDT 2014,1403699664112.00,138.913,0,3, 
Wed Jun 25 08:34:06 EDT 2014,1403699665112.00,138.928,0,3, 
Wed Jun 25 08:34:07 EDT 2014,1403699666112.00,138.942,0,3, 
Wed Jun 25 08:34:08 EDT 2014,1403699667112.00,138.944,0,3, 
Wed Jun 25 08:34:09 EDT 2014,1403699668112.00,138.933,0,3, 
Wed Jun 25 08:34:10 EDT 2014,1403699669112.00,138.928,0,3, 
Wed Jun 25 08:34:11 EDT 2014,1403699670112.00,138.927,0,3, 
Wed Jun 25 08:34:12 EDT 2014,1403699671112.00,138.928,0,3, 
Wed Jun 25 08:34:13 EDT 2014,1403699672112.00,138.936,0,3, 
